subsystem,p_up,p_down,q_up,q_down,enrichment,p_changed,q_changed,changed
"Valine, leucine, and isoleucine metabolism",0.8706913421872391,1.0,1.0,1.0,0,0.9749649489395861,1.0,0
Fatty acid oxidation,2.162625456492151e-08,0.9999999963119149,7.641276612938934e-07,1.0,1,0.2579889439565517,0.32947985613728287,0
"Transport, peroxisomal",0.9456471251045895,0.015988636248523536,1.0,0.21184943029293685,0,0.0,0.0,1
Propanoate metabolism,0.8706913421872391,1.0,1.0,1.0,0,0.9749649489395861,1.0,0
"Transport, golgi apparatus",0.9745087835859649,0.9408077565046485,1.0,1.0,0,0.9998318021824347,1.0,0
Aminosugar metabolism,0.012686203124909645,1.0,0.23184099928144128,1.0,0,0.0,0.0,1
"Transport, nuclear",0.9558828926457545,0.03720311294941059,1.0,0.32862749771979355,0,0.0,0.0,1
Urea cycle,0.9560641144690125,0.19767298297512903,1.0,1.0,0,0.0,0.0,1
Citric acid cycle,0.9560641144690125,0.6351831431704582,1.0,1.0,0,0.8099708806575022,0.9332273190184265,0
Vitamin B2 metabolism,0.6468516072214884,1.0,1.0,1.0,0,0.0,0.0,1
Nucleotide interconversion,0.18775145455887732,0.6425206053110892,1.0,1.0,0,0.0,0.0,1
Arginine and proline metabolism,0.47906438900297277,0.498248885475735,1.0,1.0,0,0.0,0.0,1
Purine synthesis,0.057685472944358995,0.9754019739568955,0.7643325165127567,1.0,0,0.0,0.0,1
Keratan sulfate synthesis,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Alanine and aspartate metabolism,0.4183163697802401,1.0,1.0,1.0,0,0.0,0.0,1
N-glycan degradation,0.6010872013104602,1.0,1.0,1.0,0,0.9810380887912716,1.0,0
Bile acid synthesis,0.013123075431024978,0.9936399198560574,0.23184099928144128,1.0,0,0.0,0.0,1
Pyruvate metabolism,0.9968178762868084,0.008476170294097085,1.0,0.12835343588204157,0,0.3017601031929331,0.37631259927589306,0
Glycolysis/gluconeogenesis,0.21250265223250298,0.9910784954102682,1.0,1.0,0,0.7553441099690873,0.8896275072969251,0
Eicosanoid metabolism,0.9121577160175959,0.09541325288945368,1.0,0.6742536537521393,0,0.0,0.0,1
Starch and sucrose metabolism,0.2794479517545647,0.7130264629488314,1.0,1.0,0,0.0,0.0,1
Biotin metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Pentose phosphate pathway,0.9598326248885716,0.351038143239629,1.0,1.0,0,0.8967299313951625,1.0,0
R group synthesis,0.6468516072214884,1.0,1.0,1.0,0,0.0,0.0,1
Miscellaneous,0.07122331078921396,0.8256934999823546,0.8388523270729644,1.0,0,0.0,0.0,1
Vitamin C metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Heme degradation,1.0,0.285336856010568,1.0,1.0,0,0.0,0.0,1
Butanoate metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Cholesterol metabolism,4.2321823823243676e-10,1.0,2.2430566626319148e-08,1.0,1,0.9948210821431444,1.0,0
ROS detoxification,0.2704584021452676,1.0,1.0,1.0,0,0.0,0.0,1
Glycerophospholipid metabolism,0.6408240847909773,0.5478125635845194,1.0,1.0,0,0.0,0.0,1
Alkaloid synthesis,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Chondroitin sulfate degradation,4.5989130001977685e-06,1.0,0.00012187119450524087,1.0,1,0.0,0.0,1
Pyrimidine catabolism,0.7079525887337268,0.301961395883805,1.0,1.0,0,0.0,0.0,1
N-glycan synthesis,1.0,1.0,1.0,1.0,0,0.999998651186549,1.0,0
Fatty acid synthesis,0.0,1.0,0.0,1.0,1,2.872789747476734e-05,3.854629281424478e-05,1
Pyrimidine synthesis,0.31289637515126234,0.8671196381910193,1.0,1.0,0,0.0,0.0,1
Intracellular demand,0.2570924922812441,0.7058772168784927,1.0,1.0,0,0.08399727654045641,0.10858184528400464,0
Galactose metabolism,0.422205611697834,1.0,1.0,1.0,0,0.7036866558164774,0.8476225626880296,0
Heme synthesis,0.422205611697834,0.8139017924232693,1.0,1.0,0,0.0,0.0,1
Fructose and mannose metabolism,0.9906264250507345,0.6390230171255373,1.0,1.0,0,0.9912602676193151,1.0,0
Folate metabolism,0.14244291299731304,0.9401736583596149,1.0,1.0,0,0.2619259027722731,0.3305255439745351,0
Keratan sulfate degradation,1.0,0.9999997747993778,1.0,1.0,0,1.0,1.0,0
Chondroitin synthesis,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Glutathione metabolism,0.2704584021452676,1.0,1.0,1.0,0,0.0,0.0,1
Hyaluronan metabolism,0.2704584021452676,1.0,1.0,1.0,0,0.0,0.0,1
Heparan sulfate degradation,1.0,1.0,1.0,1.0,0,0.9996938189893129,1.0,0
Glyoxylate and dicarboxylate metabolism,0.5573732679131308,1.0,1.0,1.0,0,0.7549728578968077,0.8896275072969251,0
Triacylglycerol synthesis,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Phosphatidylinositol phosphate metabolism,0.9845217052296036,0.0728629857765496,1.0,0.5941135763318659,0,0.0,0.0,1
Histidine metabolism,0.8706913421872391,0.3224829801737086,1.0,1.0,0,0.0,0.0,1
Inositol phosphate metabolism,0.1802133402834174,0.8011880880102872,1.0,1.0,0,0.0,0.0,1
C5-branched dibasic acid metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
CoA catabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Vitamin A metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
NAD metabolism,0.422205611697834,0.8139017924232693,1.0,1.0,0,0.0,0.0,1
Purine catabolism,0.6603251764009445,0.387379346295893,1.0,1.0,0,0.0,0.0,1
Limonene and pinene degradation,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Vitamin B6 metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Phenylalanine metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Oxidative phosphorylation,0.4183163697802401,1.0,1.0,1.0,0,0.0,0.0,1
D-alanine metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Tetrahydrobiopterin metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Thiamine metabolism,0.6468516072214884,1.0,1.0,1.0,0,0.0,0.0,1
Nucleotide sugar metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
CoA synthesis,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Androgen and estrogen synthesis and metabolism,0.4183163697802401,1.0,1.0,1.0,0,0.0,0.0,1
Glycosphingolipid metabolism,0.2543019732731575,1.0,1.0,1.0,0,0.856236305254872,0.9759252511507145,0
Linoleate metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Arachidonic acid metabolism,1.0,0.08132728891578744,1.0,0.6157637589338192,0,0.0,0.0,1
Vitamin E metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Biomass and maintenance functions,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Intracellular source/sink,0.9999423565990407,1.2562455506404113e-05,1.0,0.000332905070919709,-1,0.05471455802722258,0.07160176729488388,0
Dietary fiber binding,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Squalene and cholesterol synthesis,0.17482011355597993,1.0,1.0,1.0,0,0.0,0.0,1
Exchange/demand reaction,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Hippurate metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Peptide metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Nucleotide salvage pathway,0.8753868446627366,0.4893464231053486,1.0,1.0,0,0.0,0.0,1
Leukotriene metabolism,0.6468516072214884,1.0,1.0,1.0,0,0.0,0.0,1
Nucleotide metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
N-glycan metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Drug metabolism,0.9061675033706286,0.02046172425619308,1.0,0.2231246218116701,0,0.0,0.0,1
Protein formation,1.0,0.285336856010568,1.0,1.0,0,0.0,0.0,1
Vitamin B12 metabolism,1.0,1.0,1.0,1.0,0,0.0,0.0,1
Lipoate metabolism,1.0,1.0,1.0,1.0,0,0.9321884632320564,1.0,0
